Price,Close,High,Low,Open,Volume,MA20,MA50,RSI,Signal,Returns,Strategy_Returns
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,
Date,,,,,,,,,,,
2022-03-15,16663.0,16927.75,16555.0,16900.650390625,381600,16732.44248046875,17285.243984375,43.93340912315884,0,,
2022-03-16,16975.349609375,16987.900390625,16837.849609375,16876.650390625,260000,16713.5875,17272.2369921875,48.8497124600639,0,0.018745100484606647,0.0
2022-03-17,17287.05078125,17344.599609375,17175.75,17202.900390625,448300,16711.830078125,17261.8730078125,65.66230424677235,0,0.018361988356508263,0.0
2022-03-21,17117.599609375,17353.349609375,17096.400390625,17329.5,285500,16702.480078125,17245.72,57.46373370175288,0,-0.009802202470463706,-0.0
2022-03-22,17315.5,17334.400390625,17006.30078125,17120.400390625,338300,16704.4400390625,17237.1119921875,58.30942179823455,0,0.011561223252155806,0.0
2022-03-23,17245.650390625,17442.400390625,17199.599609375,17405.05078125,292100,16706.3900390625,17225.771015625,60.58931895761841,0,-0.0040339354552280104,-0.0
2022-03-24,17222.75,17291.75,17091.150390625,17094.94921875,290300,16712.917578125,17210.16,62.34369365353319,0,-0.0013278937068936791,-0.0
2022-03-25,17153.0,17294.900390625,17076.55078125,17289.0,237100,16717.405078125,17192.105,66.48742963740335,0,-0.004049875890900112,-0.0
2022-03-28,17222.0,17235.099609375,17003.900390625,17181.849609375,253200,16766.107568359374,17172.2980078125,77.85265851527964,0,0.004022619949862971,0.0
2022-03-29,17325.30078125,17343.650390625,17235.69921875,17297.19921875,235100,16799.452587890624,17153.6480078125,77.41756270279957,0,0.005998187274997013,0.0
2022-03-30,17498.25,17522.5,17387.19921875,17468.150390625,505000,16834.670068359374,17138.4980078125,75.81038265750068,0,0.009982465582194733,0.0
2022-03-31,17464.75,17559.80078125,17435.19921875,17519.19921875,281100,16877.610107421875,17121.631015625,71.55917648140887,0,-0.001914477162001882,-0.0
2022-04-01,17670.44921875,17703.69921875,17422.69921875,17436.900390625,291800,16936.230029296876,17112.778984375,73.77138612252477,0,0.011777965258592316,0.0
2022-04-04,18053.400390625,18114.650390625,17791.400390625,17809.099609375,345500,17026.632568359375,17115.078984375,75.37126170712057,0,0.021671841339984343,0.0
2022-04-05,17957.400390625,18095.44921875,17921.55078125,18080.599609375,283500,17131.345068359376,17119.0869921875,79.1886256792503,0,-0.005317557796472028,-0.0
2022-04-06,17807.650390625,17901.0,17779.849609375,17842.75,328800,17221.055078125,17122.8969921875,70.2535532049186,0,-0.008339180323571727,-0.0
2022-04-07,17639.55078125,17787.5,17623.69921875,17723.30078125,308800,17285.76513671875,17132.706015625,59.22242979956749,0,-0.00943974110495216,-0.0
2022-04-08,17784.349609375,17842.75,17600.55078125,17698.150390625,274400,17345.23759765625,17142.8340234375,67.67208980164868,0,0.008208759390795572,0.0
2022-04-11,17674.94921875,17779.05078125,17650.94921875,17740.900390625,251700,17397.46259765625,17154.13,59.996089294443536,0,-0.006151497975913078,-0.0
2022-04-12,17530.30078125,17595.30078125,17442.349609375,17584.849609375,266000,17430.41259765625,17162.69703125,57.59980476551525,0,-0.008183810641252287,-0.0
2022-04-13,17475.650390625,17663.650390625,17457.400390625,17599.900390625,245100,17471.0451171875,17165.413046875,56.63955500085632,0,-0.0031174816283502382,-0.0
2022-04-18,17173.650390625,17237.75,17067.849609375,17183.44921875,376100,17480.96015625,17157.3490625,50.483220065538404,0,-0.017281188010147552,-0.0
2022-04-19,16958.650390625,17275.650390625,16824.69921875,17258.94921875,401400,17464.54013671875,17140.9220703125,44.231741655950245,0,-0.012519178806467801,-0.0
2022-04-20,17136.55078125,17186.900390625,16978.94921875,17045.25,286100,17465.4876953125,17132.4491015625,45.996559957977134,0,0.010490244596548015,0.0
2022-04-21,17392.599609375,17414.69921875,17215.5,17234.599609375,285200,17469.34267578125,17129.975078125,47.83542975680848,0,0.014941678252146096,0.0
2022-04-22,17171.94921875,17315.30078125,17149.19921875,17242.75,262700,17465.6576171875,17129.1420703125,44.42835586807698,0,-0.012686452605167986,-0.0
2022-04-25,16953.94921875,17054.30078125,16888.69921875,17009.05078125,275700,17452.217578125,17122.8860546875,36.429402172787185,0,-0.012695122564301942,-0.0
2022-04-26,17200.80078125,17223.849609375,17064.44921875,17121.30078125,261100,17454.6076171875,17117.6260546875,32.97387953461342,0,0.014560121616207233,0.0
2022-04-27,17038.400390625,17110.69921875,16958.44921875,17073.349609375,265100,17445.42763671875,17106.2770703125,32.122008416784325,0,-0.009441443610115341,-0.0
2022-04-28,17245.05078125,17322.5,17071.05078125,17189.5,312900,17441.41513671875,17103.6830859375,39.292381465717526,0,0.012128508890934642,0.0
2022-04-29,17102.55078125,17377.650390625,17053.25,17329.25,336200,17421.63017578125,17108.8780859375,39.67903132807996,0,-0.008263240381694681,-0.0
2022-05-02,17069.099609375,17092.25,16917.25,16924.44921875,278200,17401.84765625,17103.21109375,35.63842887373545,0,-0.0019559171203674675,-0.0
2022-05-04,16677.599609375,17132.849609375,16623.94921875,17096.599609375,310600,17352.20517578125,17090.3191015625,32.01192340669567,0,-0.022936183451936376,-0.0
2022-05-05,16682.650390625,16945.69921875,16651.849609375,16854.75,265800,17283.66767578125,17077.8801171875,33.90122106743803,0,0.00030284821366977077,0.0
2022-05-06,16411.25,16484.19921875,16340.900390625,16415.55078125,300500,17206.36015625,17060.5791015625,31.3224049708855,0,-0.0162684216398562,-0.0
2022-05-09,16301.849609375,16403.69921875,16142.099609375,16227.7001953125,288400,17131.0701171875,17042.4830859375,33.593058508370305,0,-0.006666182687180999,-0.0
2022-05-10,16240.0498046875,16404.55078125,16197.2998046875,16248.900390625,283100,17061.095068359376,17025.44009765625,35.648679969621924,0,-0.003790968888092272,-0.0
2022-05-11,16167.099609375,16318.75,15992.599609375,16270.0498046875,284300,16980.232568359374,17007.51708984375,29.791769636457943,-1,-0.0044919933245182175,-0.0
2022-05-12,15808.0,16041.9501953125,15735.75,16021.099609375,314900,16886.885107421876,16998.7180859375,18.32960800953724,0,-0.022211752141785834,0.022211752141785834
2022-05-13,15782.150390625,16083.599609375,15740.849609375,15977.0,369100,16799.477587890626,16981.1930859375,19.87740605434604,0,-0.0016352232651188903,-0.0
2022-05-16,15842.2998046875,15977.9501953125,15739.650390625,15845.099609375,217600,16717.81005859375,16962.16107421875,24.13630454174279,0,0.0038112305721171857,0.0
2022-05-17,16259.2998046875,16284.25,15900.7998046875,15912.599609375,295700,16672.092529296875,16955.2280859375,29.702050181420987,0,0.026321935902047233,0.0
2022-05-18,16240.2998046875,16399.80078125,16211.2001953125,16318.150390625,290400,16636.175,16950.07306640625,31.65962080249693,0,-0.0011685620062508173,-0.0
2022-05-19,15809.400390625,15984.75,15775.2001953125,15917.400390625,313900,16569.81748046875,16941.35408203125,20.091249696865134,0,-0.026532725334179386,-0.0
2022-05-20,16266.150390625,16283.0498046875,16003.849609375,16043.7998046875,252400,16513.49501953125,16949.41408203125,34.59270990888824,0,0.028891038794289337,0.0
2022-05-23,16214.7001953125,16414.69921875,16185.75,16290.9501953125,293800,16465.632568359375,16953.43908203125,34.36483045168208,0,-0.0031630222318707046,-0.0
2022-05-24,16125.150390625,16262.7998046875,16078.599609375,16225.5498046875,249800,16424.192626953125,16949.03509765625,38.63436732273118,0,-0.005522754266735541,-0.0
2022-05-25,16025.7998046875,16223.349609375,16006.9501953125,16196.349609375,243300,16365.442578125,16937.6530859375,36.991251492607454,0,-0.006161219184365629,-0.0
2022-05-26,16170.150390625,16204.4501953125,15903.7001953125,16105.0,314300,16322.030078125,16928.447109375,44.97206271572072,0,0.009007387318995308,0.0
2022-05-27,16352.4501953125,16370.599609375,16221.9501953125,16296.599609375,274100,16277.400048828125,16918.07009765625,51.02409645698004,0,0.011273847198922216,0.0
2022-05-30,16661.400390625,16695.5,16506.150390625,16527.900390625,251400,16255.342529296875,16918.03810546875,57.75211445150391,0,0.018893205092962884,0.0
2022-05-31,16584.55078125,16690.75,16521.900390625,16578.44921875,651600,16231.115087890625,16910.22212890625,57.6693676696332,0,-0.004612433983534836,-0.0
2022-06-01,16522.75,16649.19921875,16438.849609375,16594.400390625,249600,16223.372607421876,16894.93611328125,64.74167268227286,0,-0.0037264067061659745,-0.0
2022-06-02,16628.0,16646.400390625,16443.05078125,16481.650390625,236000,16220.640087890624,16885.14412109375,66.89232675101746,0,0.006370004993115463,0.0
2022-06-03,16584.30078125,16793.849609375,16567.900390625,16761.650390625,245500,16229.292626953125,16870.52013671875,64.9163902841619,0,-0.002628050201467391,-0.0
2022-06-06,16569.55078125,16610.94921875,16444.55078125,16530.69921875,233600,16242.677685546874,16856.99814453125,57.44024910666987,0,-0.0008893953501298846,-0.0
2022-06-07,16416.349609375,16487.25,16347.099609375,16469.599609375,233800,16251.49267578125,16840.87013671875,53.96660199233325,0,-0.009245946006475991,-0.0
2022-06-08,16356.25,16514.30078125,16293.349609375,16474.94921875,243500,16260.9501953125,16824.93513671875,64.79290034616994,0,-0.0036609606157923524,-0.0
2022-06-09,16478.099609375,16492.80078125,16243.849609375,16263.849609375,205000,16294.45517578125,16810.05712890625,57.00218225367053,0,0.00744972774168895,0.0
2022-06-10,16201.7998046875,16324.7001953125,16172.599609375,16283.9501953125,189700,16315.437646484375,16787.587109375,49.628936753519625,0,-0.016767698414100085,-0.0
2022-06-13,15774.400390625,15886.150390625,15684.0,15877.5498046875,225500,16312.04267578125,16753.1101171875,41.552875899938755,0,-0.026379749115209128,-0.0
2022-06-14,15732.099609375,15858.0,15659.4501953125,15674.25,225400,16285.682666015626,16718.457109375,42.72695482934223,0,-0.00268160945598539,-0.0
2022-06-15,15692.150390625,15783.650390625,15678.900390625,15729.25,183000,16258.2751953125,16678.8911328125,37.51762168911158,0,-0.0025393443813560568,-0.0
2022-06-16,15360.599609375,15863.150390625,15335.099609375,15832.25,264700,16235.83515625,16625.0351171875,25.972031975623196,0,-0.021128447854290244,-0.0
2022-06-17,15293.5,15400.400390625,15183.400390625,15272.650390625,342600,16187.20263671875,16571.757109375,12.463622087757201,0,-0.00436829362663993,-0.0
2022-06-20,15350.150390625,15382.5,15191.099609375,15334.5,260000,16143.975146484376,16522.607109375,15.747263360189379,0,0.0037042135956451006,0.0
2022-06-21,15638.7998046875,15707.25,15419.849609375,15455.9501953125,262800,16119.6576171875,16482.59208984375,28.214402444548313,0,0.018804337854487096,0.0
2022-06-22,15413.2998046875,15565.400390625,15385.9501953125,15545.650390625,220900,16089.0326171875,16435.17109375,21.738000295377347,0,-0.014419265085317434,-0.0
2022-06-23,15556.650390625,15628.4501953125,15367.5,15451.5498046875,259200,16058.3576171875,16392.8051171875,27.149618390892456,0,0.009300447519609234,0.0
2022-06-24,15699.25,15749.25,15619.4501953125,15657.400390625,219600,16025.697607421875,16356.1841015625,31.68944285188303,0,0.009166472588529428,0.0
2022-06-27,15832.0498046875,15927.4501953125,15815.5,15926.2001953125,210900,15984.230078125,16323.31208984375,37.60026858489335,0,0.008458990377725017,0.0
2022-06-28,15850.2001953125,15892.099609375,15710.150390625,15757.4501953125,251900,15947.512548828125,16296.8430859375,39.06618125838453,0,0.0011464333961117568,0.0
2022-06-29,15799.099609375,15861.599609375,15687.7998046875,15701.7001953125,444900,15911.330029296874,16273.6520703125,34.866722791939196,0,-0.0032239710103227903,-0.0
2022-06-30,15780.25,15890.0,15728.849609375,15774.5,306000,15868.942529296875,16246.5260546875,39.38669746898747,0,-0.001193081241402827,-0.0
2022-07-01,15752.0498046875,15793.9501953125,15511.0498046875,15703.7001953125,364100,15827.32998046875,16213.71505859375,49.295712236272905,0,-0.0017870563085186086,-0.0
2022-07-04,15835.349609375,15852.349609375,15661.7998046875,15710.5,304300,15790.619921875,16186.98306640625,53.17155582859776,0,0.005288188249805481,0.0
2022-07-05,15810.849609375,16025.75,15785.4501953125,15909.150390625,254200,15760.344921875,16164.12107421875,53.68105071120706,0,-0.0015471713984448465,-0.0
2022-07-06,15989.7998046875,16011.349609375,15800.900390625,15818.2001953125,288400,15742.022412109374,16139.9010546875,71.55237758181562,0,0.011318189707300252,0.0
2022-07-07,16132.900390625,16150.5,16045.9501953125,16113.75,264600,15724.762451171875,16121.7910546875,77.32954841729207,0,0.00894949203151052,0.0
2022-07-08,16220.599609375,16275.5,16157.900390625,16273.650390625,281100,15725.70244140625,16101.30203125,77.77881661879687,0,0.005436047866567373,0.0
2022-07-11,16216.0,16248.5498046875,16115.5,16136.150390625,255900,15747.782421875,16083.571015625,72.49941948328302,0,-0.00028356592763323363,-0.0
2022-07-12,16058.2998046875,16158.75,16031.150390625,16126.2001953125,208600,15764.092431640625,16063.35501953125,76.54538614759119,0,-0.0097249750439381,-0.0
2022-07-13,15966.650390625,16140.0,15950.150390625,16128.2001953125,233300,15777.817431640626,16049.13603515625,67.62380826048849,0,-0.005707292501522909,-0.0
2022-07-14,15938.650390625,16070.849609375,15858.2001953125,16018.849609375,228600,15806.719970703125,16034.25603515625,61.41524317216228,0,-0.0017536552323109689,-0.0
2022-07-15,16049.2001953125,16066.9501953125,15927.2998046875,16010.7998046875,205800,15844.50498046875,16027.0150390625,60.57877299516072,0,0.0069359576863876615,0.0
2022-07-18,16278.5,16287.9501953125,16142.2001953125,16151.400390625,227700,15890.9224609375,16026.548046875,67.30505626977293,0,0.014287304158276504,0.0
2022-07-19,16340.5498046875,16359.5,16187.0498046875,16187.0498046875,222600,15926.0099609375,16028.558046875,71.68492761717475,0,0.003811764271124396,0.0
2022-07-20,16520.849609375,16588.0,16490.94921875,16562.80078125,284400,15981.387451171875,16035.633046875,76.26428931605224,0,0.01103388850696918,0.0
2022-07-21,16605.25,16626.94921875,16483.900390625,16523.55078125,243600,16033.817431640626,16051.578046875,79.0976396886667,0,0.005108719746296009,0.0
2022-07-22,16719.44921875,16752.25,16610.900390625,16661.25,190900,16084.827392578125,16070.3240234375,79.52908359568565,0,0.006877295960614926,0.0
2022-07-25,16631.0,16706.05078125,16564.25,16662.55078125,211400,16124.77490234375,16086.09802734375,76.27091922598082,0,-0.005290199311757782,-0.0
2022-07-26,16483.849609375,16636.099609375,16463.30078125,16632.900390625,208200,16156.457373046875,16090.5890234375,66.15441994013463,0,-0.00884795806776506,-0.0
2022-07-27,16641.80078125,16653.44921875,16438.75,16475.349609375,185200,16198.592431640625,16098.61904296875,66.47995577633654,0,0.0095821774414373,0.0
2022-07-28,16929.599609375,16947.650390625,16746.25,16774.849609375,376300,16256.059912109375,16121.02302734375,70.32569671369284,0,0.017293731123692924,0.0
